x,y,z,nx,ny,nz
1.48238,2.72655,1.64742,1.52699,-5.15507,-0.936259
1.49268,2.71115,1.68631,1.34005,-5.01642,-0.927748
1.50245,2.69637,1.72527,1.16847,-4.88809,-0.919031
1.51167,2.68222,1.76429,1.01226,-4.77009,-0.910109
1.52035,2.66869,1.80339,0.871417,-4.6624,-0.900981
1.52849,2.65579,1.84255,0.745943,-4.56503,-0.891647
1.53609,2.64351,1.88179,0.635837,-4.47798,-0.882108
1.54314,2.63186,1.92109,0.541098,-4.40124,-0.872363
1.54966,2.62083,1.96047,0.461728,-4.33483,-0.862412
1.55563,2.61042,1.99991,0.397726,-4.27873,-0.852256
1.56106,2.60064,2.03942,0.349091,-4.23296,-0.841894
1.56595,2.59148,2.079,0.315824,-4.1975,-0.831327
1.57029,2.58295,2.11865,0.297925,-4.17236,-0.820554
1.5741,2.57504,2.15837,0.295395,-4.15754,-0.809575
1.57736,2.56776,2.19816,0.308232,-4.15303,-0.798391
1.58008,2.5611,2.23802,0.336437,-4.15885,-0.787001
1.58226,2.55506,2.27795,0.380009,-4.17498,-0.775406
1.5839,2.54965,2.31794,0.43895,-4.20144,-0.763605
1.58499,2.54486,2.35801,0.513259,-4.23821,-0.751598
1.58555,2.5407,2.39814,0.602935,-4.2853,-0.739386
1.58556,2.53716,2.43835,0.70798,-4.34271,-0.726968
1.58503,2.53425,2.47862,0.828392,-4.41044,-0.714344
1.58396,2.53196,2.51897,0.964173,-4.48848,-0.701515
1.58234,2.5303,2.55938,1.11532,-4.57685,-0.68848
1.58019,2.52926,2.59986,1.28184,-4.67553,-0.67524
1.57763,2.52844,2.64036,1.45153,-4.7772,-0.662969
1.57482,2.52743,2.68081,1.61222,-4.87451,-0.652841
1.57175,2.52625,2.72122,1.76391,-4.96748,-0.644857
1.56842,2.52488,2.7616,1.90659,-5.05609,-0.639016
1.56484,2.52334,2.80193,2.04026,-5.14035,-0.63532
1.561,2.52161,2.84222,2.16492,-5.22025,-0.633767
1.5569,2.51969,2.88246,2.28058,-5.29581,-0.634357
1.55254,2.5176,2.92267,2.38724,-5.36701,-0.637091
1.54793,2.51532,2.96284,2.48488,-5.43387,-0.641969
1.54305,2.51286,3.00296,2.57352,-5.49636,-0.64899
1.53792,2.51022,3.04304,2.65316,-5.55451,-0.658155
1.53254,2.50739,3.08308,2.72378,-5.60831,-0.669464
1.52689,2.50439,3.12308,2.78541,-5.65775,-0.682917
1.52099,2.5012,3.16304,2.83802,-5.70284,-0.698513
1.51483,2.49783,3.20296,2.88163,-5.74358,-0.716252
1.50841,2.49427,3.24284,2.91623,-5.77997,-0.736136
1.50174,2.49054,3.28267,2.94183,-5.81201,-0.758163
1.49481,2.48662,3.32247,2.95842,-5.83969,-0.782333
1.48762,2.48252,3.36222,2.966,-5.86303,-0.808647
1.48017,2.47823,3.40193,2.96458,-5.88201,-0.837105
1.47247,2.47377,3.4416,2.95415,-5.89663,-0.867707
1.46451,2.46912,3.48123,2.93471,-5.90691,-0.900452
1.45629,2.46429,3.52082,2.90627,-5.91284,-0.935341
1.44781,2.45928,3.56036,2.86882,-5.91441,-0.972373
1.43908,2.45408,3.59987,2.82237,-5.91163,-1.01155
1.43014,2.4486,3.6389,2.77372,-5.90209,-1.04774
1.42105,2.44271,3.67701,2.72968,-5.88338,-1.07584
1.4118,2.43642,3.71421,2.69024,-5.85549,-1.09582
1.4024,2.42974,3.7505,2.65542,-5.81844,-1.1077
1.39285,2.42265,3.78587,2.62522,-5.77221,-1.11148
1.38315,2.41516,3.82033,2.59962,-5.71681,-1.10714
1.37329,2.40727,3.85388,2.57863,-5.65224,-1.09471
1.36329,2.39898,3.88651,2.56225,-5.5785,-1.07417
1.35312,2.39029,3.91823,2.55049,-5.49559,-1.04552
1.34281,2.38119,3.94904,2.54333,-5.40351,-1.00877
1.33234,2.3717,3.97893,2.54078,-5.30225,-0.963917
1.32172,2.36181,4.00791,2.54285,-5.19183,-0.910956
1.31095,2.35151,4.03598,2.54953,-5.07223,-0.84989
1.30002,2.34082,4.06313,2.56081,-4.94346,-0.780719
1.28895,2.32972,4.08937,2.57671,-4.80552,-0.703443
1.27772,2.31823,4.11469,2.59722,-4.65841,-0.618061
1.26633,2.30633,4.1391,2.62234,-4.50212,-0.524575
1.2548,2.29403,4.1626,2.65207,-4.33667,-0.422983
1.24311,2.28134,4.18519,2.68641,-4.16204,-0.313287
1.23126,2.26824,4.20686,2.72536,-3.97825,-0.195485
1.21927,2.25474,4.22762,2.76892,-3.78528,-0.0695777
1.20712,2.24084,4.24746,2.8171,-3.58314,0.0644344
1.19482,2.22654,4.26639,2.86988,-3.37182,0.206552
1.18237,2.21184,4.28441,2.92728,-3.15134,0.356774
1.32341,2.77982,0.713498,4.84645,-4.34019,-2.06182
1.32762,2.78701,0.745633,4.78453,-4.55144,-1.97993
1.33203,2.7933,0.778042,4.71716,-4.74812,-1.90106
1.33665,2.79869,0.810726,4.64435,-4.93024,-1.82521
1.34146,2.80318,0.843685,4.5661,-5.0978,-1.75238
1.34647,2.80677,0.876919,4.48239,-5.25079,-1.68258
1.35168,2.80946,0.910427,4.39325,-5.38922,-1.61579
1.35709,2.81125,0.94421,4.29865,-5.51308,-1.55203
1.3627,2.81215,0.978268,4.19861,-5.62239,-1.49128
1.3685,2.81214,1.0126,4.09312,-5.71712,-1.43356
1.37451,2.81124,1.04721,3.98219,-5.7973,-1.37886
1.38072,2.80944,1.08209,3.86581,-5.86291,-1.32718
1.38712,2.80674,1.11725,3.74399,-5.91396,-1.27852
1.39372,2.80313,1.15268,3.61671,-5.95045,-1.23288
1.40053,2.79863,1.18838,3.484,-5.97237,-1.19026
1.40753,2.79324,1.22436,3.34583,-5.97973,-1.15067
1.41473,2.78694,1.26062,3.20222,-5.97252,-1.1141
1.42213,2.77974,1.29715,3.05317,-5.95075,-1.08054
1.42973,2.77164,1.33395,2.89866,-5.91442,-1.05001
1.43753,2.76265,1.37103,2.73871,-5.86353,-1.0225
1.44552,2.75275,1.40838,2.57332,-5.79807,-0.998009
1.45372,2.74196,1.44601,2.40248,-5.71805,-0.97654
1.46212,2.73027,1.48392,2.22619,-5.62346,-0.958093
1.47071,2.71768,1.52209,2.04446,-5.51431,-0.942667
1.4795,2.70419,1.56055,1.85728,-5.3906,-0.930261
1.4885,2.6898,1.59927,1.66465,-5.25232,-0.920877
1.49739,2.67522,1.63817,1.47638,-5.11164,-0.912924
1.50589,2.66117,1.67715,1.30226,-4.9807,-0.904811
1.514,2.64764,1.71619,1.1423,-4.85951,-0.896538
1.52171,2.63463,1.7553,0.996481,-4.74807,-0.888105
1.52903,2.62215,1.79449,0.86482,-4.64637,-0.879512
1.53595,2.61019,1.83374,0.747311,-4.55443,-0.87076
1.54248,2.59876,1.87307,0.643955,-4.47222,-0.861848
1.54862,2.58785,1.91247,0.554752,-4.39977,-0.852776
1.55436,2.57747,1.95194,0.479702,-4.33706,-0.843544
